station_number,station_name,line_number,line_name,operator,latitude,longitude,data_date
D004,신사,I11D1,신분당선,경기도 신분당선,37.5161252633129,127.019760916726,2026-06-18
D005,논현,I11D1,신분당선,경기도 신분당선,37.5111153846379,127.021365807131,2026-06-18
D006,신논현,I11D1,신분당선,경기도 신분당선,37.504555429592,127.024530640799,2026-06-18
D007,강남,I11D1,신분당선,경기도 신분당선,37.4973854397871,127.02787893753,2026-06-18
D008,양재(서초구청),I11D1,신분당선,경기도 신분당선,37.4844535239588,127.034099452522,2026-06-18
D009,양재시민의숲(매헌),I11D1,신분당선,경기도 신분당선,37.4709638768813,127.038420263319,2026-06-18
D010,청계산입구,I11D1,신분당선,경기도 신분당선,37.4487148450701,127.054339616958,2026-06-18
D011,판교,I11D1,신분당선,경기도 신분당선,37.3957147534829,127.111210738619,2026-06-18
D012,정자,I11D1,신분당선,경기도 신분당선,37.3682101915529,127.108385905864,2026-06-18
D013,미금,I11D1,신분당선,경기도 신분당선,37.3511833209472,127.108902778591,2026-06-18
D014,동천,I11D1,신분당선,경기도 신분당선,37.3386841329961,127.102793673668,2026-06-18
D015,수지구청,I11D1,신분당선,경기도 신분당선,37.3230089609191,127.095581285703,2026-06-18
D016,성복,I11D1,신분당선,경기도 신분당선,37.3140425091456,127.080757826931,2026-06-18
D017,상현,I11D1,신분당선,경기도 신분당선,37.2986852587224,127.06957991138,2026-06-18
D018,광교중앙(아주대),I11D1,신분당선,경기도 신분당선,37.2877375194967,127.052625032841,2026-06-18
D019,광교(경기대),I11D1,신분당선,경기도 신분당선,37.3017347422146,127.044856131638,2026-06-18
Y110,기흥(백남준아트센터),L41E1,에버라인,경기도 용인경전철,37.27545288,127.1170465,2025-03-25
Y111,강남대,L41E1,에버라인,경기도 용인경전철,37.27017073,127.1260669,2025-03-25
Y112,지석,L41E1,에버라인,경기도 용인경전철,37.26973732,127.1363256,2025-03-25
Y113,어정,L41E1,에버라인,경기도 용인경전철,37.27495132,127.1437499,2025-03-25
Y114,동백(용인세브란스),L41E1,에버라인,경기도 용인경전철,37.26910138,127.1526906,2025-03-25
Y115,초당,L41E1,에버라인,경기도 용인경전철,37.26080647,127.1594692,2025-03-25
Y116,삼가,L41E1,에버라인,경기도 용인경전철,37.24205993,127.16818,2025-03-25
Y117,시청·용인대,L41E1,에버라인,경기도 용인경전철,37.23944203,127.1788851,2025-03-25
Y118,명지대,L41E1,에버라인,경기도 용인경전철,37.23807629,127.1902913,2025-03-25
Y119,김량장,L41E1,에버라인,경기도 용인경전철,37.23732377,127.1986109,2025-03-25
Y120,용인중앙시장(용인예술과학대),L41E1,에버라인,경기도 용인경전철,37.2379113,127.2090526,2025-03-25
Y121,고진,L41E1,에버라인,경기도 용인경전철,37.24463834,127.2141836,2025-03-25
Y122,보평,L41E1,에버라인,경기도 용인경전철,37.25896427,127.2184808,2025-03-25
Y123,둔전,L41E1,에버라인,경기도 용인경전철,37.26721222,127.2136387,2025-03-25
Y124,전대·에버랜드,L41E1,에버라인,경기도 용인경전철,37.28541327,127.219509,2025-03-25
A01,서울,I28A1,인천국제공항선,공항철도주식회사,37.55301784,126.9697643,2023-05-31
A02,공덕,I28A1,인천국제공항선,공항철도주식회사,37.5427105,126.9516296,2023-05-31
A03,홍대입구,I28A1,인천국제공항선,공항철도주식회사,37.55774103,126.9264939,2023-05-31
A04,디지털미디어시티,I28A1,인천국제공항선,공항철도주식회사,37.577355,126.898025,2023-05-31
A042,마곡나루,I28A1,인천국제공항선,공항철도주식회사,37.56581914,126.8276358,2023-05-31
A05,김포공항,I28A1,인천국제공항선,공항철도주식회사,37.56211652,126.8015442,2023-05-31
A06,계양,I28A1,인천국제공항선,공항철도주식회사,37.571769,126.736319,2023-05-31
A07,검암,I28A1,인천국제공항선,공항철도주식회사,37.56915547,126.6735357,2023-05-31
A071,청라국제도시,I28A1,인천국제공항선,공항철도주식회사,37.556509,126.624725,2023-05-31
A072,영종,I28A1,인천국제공항선,공항철도주식회사,37.51209814,126.5242471,2023-05-31
A08,운서,I28A1,인천국제공항선,공항철도주식회사,37.49284463,126.4936619,2023-05-31
